"ID";"Тип";"Название";"Артикул";"Код";"pathName (row)";"productFolder.name";"productFolder.pathName";"productFolder.productFolder.name";"Цена продажи";"Цена закупки";"Остаток"
"9c45b876-76e0-11f1-0a80-04ba00024c6d";"product";"Заклепочный пистолет FB-808";"FB-808-4(903)";"00169";"";;;;"7800.00";"6500.00";"0"
"9c4c8d9c-76e0-11f1-0a80-04ba00024c71";"product";"Набор 6в1 (шуруповерт, гайковерт, перфоратор, УШМ, цепная и циркулярная пила)";"FB-6x1(732)";"00243";"";;;;"0.00";"0.00";"0"
"9c5078d7-76e0-11f1-0a80-04ba00024c75";"product";"Набор 4в1 (шуруповерт 21-13, гайковерт 680, перфоратор 05-24, УШМ 5230)";"FB-4x1(703)";"00288";"";;;;"18600.00";"15500.00";"0"
"9c54ace3-76e0-11f1-0a80-04ba00024c79";"product";"Набор 4в1 (шуруповерт 1321, гайковерт 650, перфоратор 05-24, УШМ 5025)";"FB-4x1(704)";"00251";"";;;;"0.00";"0.00";"0"
"9c5a158f-76e0-11f1-0a80-04ba00024c7d";"product";"Набор 4в1 (FBH-20-13A, FBH-688, FBH-05-24, FBH-20-125)";"FB-4x1(707)";"00294";"";;;;"0.00";"0.00";"0"
"9c5ec54d-76e0-11f1-0a80-04ba00024c81";"product";"Набор 3в1 (FBH-20-13A, FBH-20-125, FBH-688)";"FB-3x1(717)";"00222";"";;;;"0.00";"0.00";"0"
"9c62b89a-76e0-11f1-0a80-04ba00024c85";"product";"Набор 3в1 (шуруповерт 1321, УШМ 5230, перфоратор 8026)";"FB-3x1(714)";"00167";"";;;;"0.00";"0.00";"0"
"9c6738ba-76e0-11f1-0a80-04ba00024c89";"product";"Набор 3в1 (шуруповерт 21-13, гайковерт 1280, перфоратор 8026)";"FB-3x1(715)";"00300";"";;;;"0.00";"0.00";"0"
"9c6b6da9-76e0-11f1-0a80-04ba00024c8d";"product";"Набор 3в1 (УШМ 5230, гайковерт 1280, перфоратор 8030)";"FB-3x1(716)";"00204";"";;;;"16800.00";"14000.00";"0"
"9c6f8639-76e0-11f1-0a80-04ba00024c91";"product";"Набор 2в1 (гайковерт FBH-688, шуруповерт FBH-20-13A)";"FB-2x1(727)";"00302";"";;;;"0.00";"0.00";"0"
"9c738630-76e0-11f1-0a80-04ba00024c95";"product";"Набор 2в1 (УШМ FBH-20-125, шуруповерт FBH-20-13A)";"FB-2x1(728)";"00283";"";;;;"8640.00";"7200.00";"0"
"9c7775ab-76e0-11f1-0a80-04ba00024c99";"product";"Набор 2в1 (УШМ FBH-20-125, гайковерт FBH-688)";"FB-2x1(729)";"00295";"";;;;"11400.00";"9500.00";"0"
"9c7b4e24-76e0-11f1-0a80-04ba00024c9d";"product";"Мойка высокого давления FB-072";"FB-072-4(072)";"00277";"";;;;"6240.00";"5200.00";"0"
"9c7f3434-76e0-11f1-0a80-04ba00024ca1";"product";"Лазерный уровень 286";"FB-286(605)";"00247";"";;;;"0.00";"0.00";"0"
"9c8314b2-76e0-11f1-0a80-04ba00024ca5";"product";"Лазерный уровень 216";"FB-216(602)";"00170";"";;;;"5400.00";"4500.00";"0"
"9c870bb8-76e0-11f1-0a80-04ba00024ca9";"product";"Прожектор FBH-166 (без АКБ)";"FBH-166(950)";"00223";"";;;;"0.00";"0.00";"0"
"9c8ae14d-76e0-11f1-0a80-04ba00024cad";"product";"Снеговая лопата 061";"FB-061-6(061)";"00257";"";;;;"0.00";"0.00";"0"
"9c8f5260-76e0-11f1-0a80-04ba00024cb1";"product";"Переходник FB_MAK";"FB-MAK";"00154";"";;;;"0.00";"0.00";"0"
"9c9369ba-76e0-11f1-0a80-04ba00024cb5";"product";"Диск отрезной по металлу 230мм (5шт/уп — 625₽; 25шт/кор — 3000₽)";"D 230";"00186";"";;;;"0.00";"0.00";"0"
"9c97a258-76e0-11f1-0a80-04ba00024cb9";"product";"Диск отрезной оригинальный для пилы 150мм";"CDC-150";"00185";"";;;;"0.00";"0.00";"0"
"9c9b7ef8-76e0-11f1-0a80-04ba00024cbd";"product";"Патрон 10мм";"pat 10";"00255";"";;;;"0.00";"0.00";"0"
"9c9f95a9-76e0-11f1-0a80-04ba00024cc1";"product";"Патрон 13мм";"pat 13";"00235";"";;;;"0.00";"0.00";"0"
"9ca3bc02-76e0-11f1-0a80-04ba00024cc5";"product";"Цепь для пилы 8355";"Ch 8355";"00228";"";;;;"0.00";"0.00";"0"
